artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]魷魚遊戲的老頭居然是主辦方之一?,2021/09/17,13:13:43,https://www.ptt.cc/bbs/Gossiping/M.1631884426.A.ED3.html,lovesaber,Gossiping,20,1,16,"最後就剩李政宰獲勝

其餘全部死光

爽拿所有獎金

然後一開始有腦癌的老頭居然是主辦方之一

因為待在觀眾席太無聊 就跑下去玩了

而裡面臥底的鴿子在找哥哥

哥哥居然是黑面具"
[問卦]韓國為什麼拍得出魷魚遊戲？,2021/09/18,17:27:22,https://www.ptt.cc/bbs/Gossiping/M.1631986044.A.A57.html,leonemamo,Gossiping,90,33,12,"最近看魷魚遊戲

日本的大逃殺、好萊塢的飢餓遊戲直接被海放

為什麼韓國拍得出這麼獵奇刺激的電視劇？

有魷魚遊戲的八卦嗎？不過必須說有幾場比賽規則還滿爛的

例如踫糖遊戲有的人拿到的形狀比較難、走玻璃的順序根本是前面幾個先死

"
Re:[問卦]韓國為什麼拍得出魷魚遊戲？（有雷看完再來）,2021/09/18,18:15:37,https://www.ptt.cc/bbs/Gossiping/M.1631988940.A.B82.html,henryhuang17,Gossiping,13,2,0,"魷魚遊戲我覺得算前面還好
後面有比較好看

-防雷-















但為什麼最後第六天要決勝的比賽
是用打架的方式啊＝＝

魷魚遊戲本身，裡面也介紹說是最多肢體碰撞的遊戲

看這種就是要看遊戲的奇巧跟殘忍
前面幾天都還說得過去

結果最後結尾就看男主角們對刺互毆結束＝＝
真的有點怪

當然魷魚遊戲本身應該還有可以延伸的意涵啦

但就遊戲半天結果在那邊互毆結尾...覺得有點可惜"
[問卦]台灣找個離島辦魷魚遊戲會有人參加嗎,2021/09/18,18:59:16,https://www.ptt.cc/bbs/Gossiping/M.1631991558.A.AEB.html,BaGaJohn5566,Gossiping,14,2,6,"如果台灣找個澎湖離島 蘭嶼 綠島

來辦魷魚遊戲

玩一下鬥片 鬼抓人 之類的小孩遊戲

開放想賺錢的人參加   參加前也簽生死契約

然後一些有錢大咖當贊助

給他們當vip  應該可以比博弈賺錢

這樣會有人參加嗎

台灣底層欠債 用債養債的人也不少吧？

"
[問卦]魷魚遊戲也太逼真了吧,2021/09/18,22:42:12,https://www.ptt.cc/bbs/Gossiping/M.1632004934.A.936.html,z4801abc,Gossiping,58,18,6,"演員被槍擊的反應

對死亡的恐懼

飆血的物理現象

像真的一樣

韓國的演員也太敬業了
台灣要多久才能追趕上韓國的影視實力？
"
[問卦]跳玻璃抽到1號有機會贏嗎,2021/09/19,08:24:04,https://www.ptt.cc/bbs/Gossiping/M.1632039846.A.BDD.html,FL5566,Gossiping,10,6,1,"肥宅我參加了一個魷魚遊戲

贏了獎金有400多億韓元

這一關是跳玻璃二選一 沒踩到強化玻璃就摔死

大概有10幾格要跳

全部猜對是2的10幾次方分之一

肥宅因為想出頭帥一次 選了第一順位

現在該怎麼辦？ 有方法嗎
"
[問卦]台灣如果要拍魷魚遊戲要怎麼拍？,2021/09/19,11:46:50,https://www.ptt.cc/bbs/Gossiping/M.1632052015.A.186.html,vestal,Gossiping,5,3,0,"那個 最近韓劇魷魚遊戲還蠻夯的

雖然跟開司的賭博默示錄有87%像


如果類似題材要拍台灣版的

該加入什麼遊戲比較好呢？

-
Sent from JPTT on my Sony G8142.
"
[問卦]魷魚遊戲到底是在玩什麼,2021/09/19,14:44:24,https://www.ptt.cc/bbs/Gossiping/M.1632062666.A.3B4.html,deitly,Gossiping,17,5,4,"什麼一隻腳二隻腳的
完全看不懂
這劇是在觀賞帥哥打架而已嗎
被孔劉打應該是挺爽的
相對來說女演員顔值完全比不上
有點甲味，到底該如何欣賞這齣劇阿

"
Re:[問卦]魷魚遊戲到底是在玩什麼,2021/09/19,14:48:36,https://www.ptt.cc/bbs/Gossiping/M.1632062918.A.1F5.html,seand8088503,Gossiping,11,3,0,"還沒看的人可以不用看了

有夠難看的，

要抄要聽神明的話也抄不好，

第一關學人家在那邊123木頭人，

結果演的有夠爛= =

對演員很有愛的人在看就好

不然吐血吐一地

"
[問卦]魷魚遊戲台灣盃要比什麼？,2021/09/19,14:58:06,https://www.ptt.cc/bbs/Gossiping/M.1632063488.A.E4F.html,funkyseven,Gossiping,16,11,0,"魷魚遊戲的韓國盃落幕了

如果來台灣舉辦聯賽的話

比的遊戲要有在地風情 台灣人熟悉

這樣六場比賽要比什麼？

會不會參賽者都從八卦版私信找？










-
Sent from JPTT on my Realme RMX2202.
"
[問卦]台灣怎麽都不拍類似魷魚遊戲的劇？,2021/09/19,14:58:47,https://www.ptt.cc/bbs/Gossiping/M.1632063529.A.614.html,nO25948,Gossiping,9,2,1,"今天把魷魚遊戲看完了

整部跟日本的今際類型蠻像的

可是為什麼這種類型的劇或電影台灣都不拍拍看

反而拍恐怖或驚悚片比較多

感覺拍的話會蠻有趣的
"
[問卦]到底誰在那邊吹捧魷魚遊戲害我浪費一晚上,2021/09/19,23:29:02,https://www.ptt.cc/bbs/Gossiping/M.1632094144.A.88B.html,a09651238,Gossiping,46,15,2,"如題

剛剛看不論是ptt fb還是電視新聞都在吹這部韓劇

我剛剛想說在老家無聊就把9集看完

看到剛剛啦幹

我有資格嘴吧？




抄襲沒關系

但是要抄襲也抄襲神作好嗎

抄襲神說這種糞作


然後一堆不合邏輯的東西

我相信真的有人要錢不要命

但是哪可能過半數的人會賭上自己性命




結局也是

就丟一堆明顯的不行的梗 然後假裝是什麼神伏筆

要等第二季




我去看ptt或其他網站的影評

都說什麼這部特效很好

確實不差 但是這部又不是動作片 又不敢學神說灑大番茄


然後還有人說什麼探討人性和現實的悲哀

媽的

這些人是沒看過美劇嗎

美劇探討這種東西已經深到比海溝海深了

我在魷魚遊戲只看到一堆裝b仔 人你媽



最後我看隔壁版我才知道為什麼大家說神

因為有他媽的其他明星竄場喇

因為有他媽的其他明星竄場喇

因為有他媽的其他明星竄場喇

所以才被一堆迷妹吹成這樣



我對韓劇沒偏見

但是我再也不要被騙去熬夜追劇

尤其是這種偶像密集型的 幹你娘我的一晚就這樣沒了
"
[問卦]欠債幾千萬才會想去自殺啊？,2021/09/20,07:59:35,https://www.ptt.cc/bbs/Gossiping/M.1632124777.A.F04.html,deeeplove,Gossiping,17,7,2,"如題，
剛剛在看魷魚遊戲啦
裡面的參與者都欠超多錢
折合台幣也幾千萬
通過遊戲就可以解脫
不然有人都快選擇自殺了


如果是現實世界你欠幾千萬才會去自殺啊？還是幾億哈哈
"
[問卦]韓劇編劇贏台劇幾條街,2021/09/20,15:47:25,https://www.ptt.cc/bbs/Gossiping/M.1632152847.A.57D.html,NUMB43,Gossiping,58,11,0,"最近看模範計程車 魷魚遊戲
寫實有劇情 人物刻劃 人性探討
又有無雙爽度 又有暴力血腥最原始的人性
許多元素都結合得恰到好處

台劇常常很多元素擠在一起
但就只是很單純的""出現""
毫無後勁可言"
[問卦]魷魚遊戲有幹難看==,2021/09/20,16:15:50,https://www.ptt.cc/bbs/Gossiping/M.1632154552.A.543.html,moneybuy,Gossiping,13,4,4,"以為魷魚遊戲很屌
片頭介紹的遊戲
都比後來玩的遊戲好玩
玩甚麼拔河木頭人真的爛
要刺激不刺激
要激情不激情
要懸疑不懸疑
第一集有有孔劉老公
還以為老公是主場
結果只出現幾分鐘就沒了
還好有警察哥哥還可以看顏值高後來還被調情
免強看了九集
早知道去看G片= =
幹爆爛
到底在演啥
有沒有八卦
"
[問卦]你們會想參加魷魚遊戲嗎？,2021/09/20,19:04:03,https://www.ptt.cc/bbs/Gossiping/M.1632164647.A.9BB.html,badjye911,Gossiping,20,11,0,"小弟我

很好奇

如果

給你們一個機會

可以贏得456億的韓幣

但是要跟456位參賽者爭個你死我活

你們願意嗎

感覺這部好像在隱喻

人生就是個賭博吧

有沒有八卦？

感覺好像在看聽神明的話

如果世界上真的有這種

可以把魯蛇變成有錢人的機會

大家應該很願意嘗試吧
-
Sent from JPTT on my iPhone
"
[問卦]如果世界真有魷魚遊戲會有人參加嗎？,2021/09/21,01:44:38,https://www.ptt.cc/bbs/Gossiping/M.1632188680.A.311.html,fawangching,Gossiping,62,18,3,"好奇問一下

如果這個世界真的有魷魚遊戲

真的會有人參加嗎？

456個參賽者

只有一個人生存

但可以得到456億韓元(約台幣10億）

但死亡機率455/456

生存機率1/456

也太低了吧

我是不會去參加

但假設現實生活

真的有這個遊戲

真的會有人參加嗎？
"
Re:[問卦]如果世界真有魷魚遊戲會有人參加嗎？,2021/09/21,02:38:58,https://www.ptt.cc/bbs/Gossiping/M.1632191940.A.4BB.html,end56,Gossiping,9,6,1,"參加啊！
我認識一個人，他絕對參加
而且敢保證他會是最後勝利者
不只強運還懂心理戰

但可惜每次拿到錢後
又會被騙光

好在他很容易滿足
勞動後給他一罐啤酒就好了
如果再給他吃點燒烤串
應該會跪下來叫你爸
"
[問卦]魷魚遊戲，玻璃橋要怎麼過,2021/09/21,02:42:10,https://www.ptt.cc/bbs/Gossiping/M.1632192132.A.677.html,new1974,Gossiping,82,33,5,"玻璃橋有時間限制

時間到

玻璃板會全炸裂

前面號碼一定是

站著發抖等時間到



戲中解法

是後面號碼的

推人，砸破玻璃

但現實面這招根本不可行

你推人應該會反被推

或人家閃躲，你自己煞車不住跌下去

這一關根本是全滅關卡

唯一解法






我認為是

過半數，終止遊戲。

"
[問卦]魷魚遊戲的獎金是不是太少阿？,2021/09/21,04:22:08,https://www.ptt.cc/bbs/Gossiping/M.1632198132.A.371.html,xinghh,Gossiping,14,5,1,"各位好 各位午安

剛剛小魯看了一下魷魚遊戲，裡面說獎金最高有456億韓元，感覺超級高

然後剛剛用了匯率計算機算了一下，發現也才10億台幣左右，
比威力彩還少，而且這筆錢也買不起陶朱隱園


這獎金是不是太少了阿？= =
有參加過的人分享一下嗎？= =

-
Sent from JPTT on my Samsung SM-A505GN.
"
